case_id,sample_id,seed,component,group_name,full_group_id,n_atoms,A_g_signed,A_g_abs,A_tilde_g,P_g,group_rank
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,43,Anion,Alkyl_Chain,Anion:Alkyl_Chain,2,2.6989699364321496e-10,3.5838698675405567e-10,1.7919349337702783e-10,0.0958739296351296,5
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,43,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,1.1039378775262038e-10,3.4214785865627206e-10,6.842957173125441e-11,0.09152971770186766,6
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,43,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,2.0813559209464927e-10,2.966897422185255e-10,9.889658073950851e-11,0.07936898525962385,7
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,43,Anion,Sulfonimide_N,Anion:Sulfonimide_N,1,6.526092166669883e-11,9.614330165330642e-11,9.614330165330642e-11,0.025719784697215513,8
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,44,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,5.687200633775595e-18,1.0513939560039975e-17,2.102787912007995e-18,1.0513491599581664e-05,1
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,44,Anion,CF3,Anion:CF3,8,1.9461905452147635e-18,8.183487224347377e-18,1.0229359030434222e-18,8.183138555928022e-06,2
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,44,Anion,Sulfonyl_SO2,Anion:Sulfonyl_SO2,6,3.2132013391345005e-18,7.87324362303232e-18,1.3122072705053867e-18,7.872908172956578e-06,3
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,44,Refri,CHF2,Refri:CHF2,6,1.117407942309162e-18,6.067940754494273e-18,1.0113234590823789e-18,6.067682221762002e-06,4
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,44,Anion,Other,Anion:Other,4,1.5256405480593816e-18,3.315950354404599e-18,8.289875886011498e-19,3.315809073904363e-06,5
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,44,Anion,Alkyl_Chain,Anion:Alkyl_Chain,2,-4.5405347445137615e-19,3.0861937014376358e-18,1.5430968507188179e-18,3.08606221002692e-06,6
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,44,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,1.6212075676609886e-19,2.636716164285509e-18,8.789053880951697e-19,2.636603823466481e-06,7
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,44,Anion,Sulfonimide_N,Anion:Sulfonimide_N,1,4.955631811974829e-19,9.306815866987253e-19,9.306815866987253e-19,9.306419337648523e-07,8
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,45,Anion,Sulfonyl_SO2,Anion:Sulfonyl_SO2,6,0.005665759555995464,0.0574654396623373,0.009577573277056217,0.24095089293456176,1
